session_id,timestamp,click_x,click_y,zone,dimension
20260412_175523_fa92,2026-04-12 18:07:14,479,444,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:15,479,444,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:15,448,530,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:17,365,459,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:19,473,450,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:19,391,539,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:20,296,536,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:20,252,540,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:21,230,540,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:21,356,455,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:21,449,536,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:22,427,470,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:25,308,535,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:25,386,467,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:26,235,544,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:27,251,542,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:28,628,40,Zone 1,present
20260412_175523_fa92,2026-04-12 18:07:29,565,59,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:30,299,553,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:30,386,374,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:31,389,432,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:32,389,440,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:32,389,440,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:33,391,454,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:33,391,454,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:34,393,531,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:35,399,399,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:36,660,133,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:37,246,536,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:38,637,47,Zone 1,present
20260412_175523_fa92,2026-04-12 18:07:38,409,428,Zone 1,present
20260412_175523_fa92,2026-04-12 18:07:40,656,150,Zone 1,present
20260412_175523_fa92,2026-04-12 18:07:41,690,39,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:42,547,47,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:43,375,462,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:44,398,397,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:45,664,133,Zone 1,past
20260412_175523_fa92,2026-04-12 18:07:45,654,38,Zone 1,present
20260412_175523_fa92,2026-04-12 18:07:46,384,399,Zone 1,present
20260412_175523_fa92,2026-04-12 18:07:47,642,149,Zone 1,present
20260412_175523_fa92,2026-04-12 18:07:48,692,37,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:48,493,427,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:49,492,428,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:50,492,428,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:52,482,416,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:53,482,416,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:55,477,434,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:56,172,561,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:56,197,536,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:57,515,473,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:58,508,445,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:58,508,445,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:58,508,445,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:59,508,445,Zone 1,future
20260412_175523_fa92,2026-04-12 18:07:59,508,445,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:00,503,443,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:00,495,427,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:00,495,427,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:00,495,427,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:00,495,427,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:01,508,480,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:02,327,358,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:03,279,532,Zone 1,future
20260412_175523_fa92,2026-04-12 18:08:03,654,44,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:04,229,552,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:05,418,390,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:06,657,136,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:06,483,439,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:10,297,525,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:11,266,540,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:12,306,520,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:13,454,403,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:14,467,437,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:16,676,123,Zone 1,present
